__FALSE__2 , 	If theres a government shutdown, people dont get their Social Security checks.	federal-budget,social-security	barack-obama	President	Illinois	democrat	a press conference
__FALSE__2 , 	According to a federal report, Obamacare will increase the long-term federal deficit by $6.2 trillion.	deficit,federal-budget,health-care	paul-broun	Congressman	Georgia	republican	a newspaper op-ed
__FALSE__2 , 	In Florida, 300,000 people are going to lose their individual coverage because of Obamacare. Now those people next year, they dont have health insurance.	health-care	marco-rubio	U.S. Senator	Florida	republican	an interview on "The O'Reilly Factor."
__FALSE__2 , 	Says House Republicans tried to change the definition of rape.	abortion,crime,criminal-justice	gwen-moore	U.S. House member -- 4th District	Wisconsin	democrat	a speech at the Democratic National Convention
__FALSE__2 , 	Republicans made it easier to buy a gun in states they won in 2010.	guns	mark-shields	Columnist and commentator	Washington, D.C.	none	a broadcast of PBS' "Newshour"
__FALSE__2 , 	We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.	city-government,debates,jobs,women	jorge-elorza	Law professor	Rhode Island	democrat	a radio debate
__FALSE__2 , 	Says he created more than 500 American jobs.	candidates-biography,economy,message-machine	bill-flores	Businessman	Texas	republican	a TV ad
__FALSE__2 , 	Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax.	elections	american-civil-liberties-union		the United States	organization	Newsletter
__FALSE__2 , 	Says that even if you have no children, under Obamacare, you would still have to carry insurance that covers pediatric, maternity and newborn care even though you do not need it.	health-care	mary-taylor	Lieutenant governor of Ohio	Ohio	republican	an opinion column
__FALSE__2 , 	Says There are now Occupy Wall Street camps in hundreds of cities across the United States.	city-government,occupy-wall-street	sam-adams	Mayor of Portland	Oregon	democrat	in a press conference
__FALSE__2 , 	No, I did not (have illegal immigrants working at his mansion).	immigration	mitt-romney	Former governor	Massachusetts	republican	St. Petersburg, Fla.
__FALSE__2 , 	Since Scott Walker took office as governor in January 2011, there has been an increase of 33,200 jobs in Wisconsin.	job-accomplishments,jobs,message-machine-2012	scott-walker	Milwaukee County Executive	Wisconsin	republican	a television ad
__FALSE__2 , 	The Senate proposal to restore emergency unemployment benefits for five months was fully paid for.	congress,congressional-rules,debt,deficit,economy,federal-budget,income,jobs,labor,taxes,workers	jack-reed	U.S. Senator	Rhode Island	democrat	Senate floor speeches and during a news conference
__FALSE__2 , 	While Arkansas seniors depend on Social Security and Medicare, Sen. Mark Pryor supports an overhaul so they couldnt get Social Security until they turn 68 or 69.	medicare,message-machine-2014,retirement,social-security	crossroads-gps	Conservative advocacy group		republican	a campaign ad
__FALSE__2 , 	Says only seven percent of 2009s stimulus bill went toward transportation projects, yet they created over one-third of the bills total jobs.	stimulus,transportation	peter-defazio	U.S. representative	Oregon	democrat	an online blog
__FALSE__2 , 	Betty Sutton gutted Medicare by $500 billion with her vote for the presidents health care bill.	health-care,medicare,voting-record	jim-renacci	U.S. representative 	Ohio	republican	a campaign website posting
__FALSE__2 , 	This rule could prevent children under 18 from using such tools as a power screwdriver, a milking machine or something as simple as a wheelbarrow on the family farm . . .	agriculture,children,labor	lamar-alexander			republican	a press release.
__FALSE__2 , 	Your Congressman, Charlie Bass, took over $166,000 from Big Oil.	campaign-finance	friends-democracy			none	an advertisement aired in and around New Hampshire
__FALSE__2 , 	Ron Johnson is willing to hand over the Great Lakes to the oil companies.	energy,environment,message-machine	russ-feingold		Wisconsin	democrat	a campaign ad
